"function evaluation" "best-so-far f(x)"
579 -2.60000e+01
616 -2.50000e+01
722 -2.40000e+01
800 -2.20000e+01
899 -2.10000e+01
1139 -2.00000e+01
1330 -1.90000e+01
1449 -1.80000e+01
1591 -1.70000e+01
1797 -1.60000e+01
1908 -1.50000e+01
2059 -1.40000e+01
2257 -1.30000e+01
2435 -1.20000e+01
2529 -1.10000e+01
2640 -1.00000e+01
3201 -9.00000e+00
3314 -8.00000e+00
3420 -7.00000e+00
3653 -6.00000e+00
3680 -5.00000e+00
3791 -4.00000e+00
3904 -2.00000e+00
4240 -1.00000e+00
4323 +3.56000e+02
4442 +3.69000e+02
4603 +3.70000e+02
4707 +3.77000e+02
4756 +3.79000e+02
5089 +3.81000e+02
5149 +3.84000e+02
5246 +3.91000e+02
5357 +3.94000e+02
5561 +3.96000e+02
5570 +3.99000e+02
5643 +4.05000e+02
6210 +4.09000e+02
7285 +4.10000e+02
7734 +4.13000e+02
8590 +4.14000e+02
9951 +4.14000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
13 -3.40000e+01
54 -3.30000e+01
96 -3.20000e+01
166 -3.10000e+01
223 -3.00000e+01
307 -2.90000e+01
373 -2.80000e+01
381 -2.70000e+01
482 -2.60000e+01
502 -2.50000e+01
534 -2.40000e+01
703 -2.30000e+01
774 -2.20000e+01
1027 -2.10000e+01
1444 -2.00000e+01
1535 -1.90000e+01
1602 -1.80000e+01
1669 -1.70000e+01
1673 -1.60000e+01
2085 -1.50000e+01
2219 -1.40000e+01
2366 -1.30000e+01
2571 -1.20000e+01
2815 -1.10000e+01
3268 -1.00000e+01
3490 -9.00000e+00
3659 -8.00000e+00
3802 -7.00000e+00
3924 -6.00000e+00
4215 -5.00000e+00
4247 -4.00000e+00
4518 -3.00000e+00
4667 -2.00000e+00
4890 -1.00000e+00
5365 +3.82000e+02
5469 +3.83000e+02
5477 +3.84000e+02
5484 +3.86000e+02
5521 +3.91000e+02
5523 +3.99000e+02
6210 +4.04000e+02
6445 +4.05000e+02
8313 +4.08000e+02
8392 +4.09000e+02
9137 +4.11000e+02
9951 +4.11000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
20 -3.40000e+01
55 -3.30000e+01
172 -3.20000e+01
226 -3.10000e+01
297 -3.00000e+01
304 -2.90000e+01
417 -2.80000e+01
666 -2.70000e+01
876 -2.60000e+01
947 -2.50000e+01
990 -2.40000e+01
1010 -2.30000e+01
1237 -2.20000e+01
1278 -2.10000e+01
1307 -2.00000e+01
1475 -1.90000e+01
1566 -1.80000e+01
1706 -1.70000e+01
1754 -1.60000e+01
1911 -1.50000e+01
2275 -1.40000e+01
2304 -1.30000e+01
2632 -1.10000e+01
2788 -1.00000e+01
3001 -9.00000e+00
3248 -8.00000e+00
3306 -7.00000e+00
3484 -6.00000e+00
3548 -5.00000e+00
3566 -4.00000e+00
3596 -3.00000e+00
3622 -2.00000e+00
3917 -1.00000e+00
4046 +3.36000e+02
4200 +3.38000e+02
4275 +3.55000e+02
4407 +3.65000e+02
4540 +3.76000e+02
5161 +3.81000e+02
5359 +3.86000e+02
5373 +3.92000e+02
5672 +4.00000e+02
5690 +4.06000e+02
6567 +4.11000e+02
6746 +4.14000e+02
6861 +4.15000e+02
8869 +4.19000e+02
9951 +4.19000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
6 -3.40000e+01
54 -3.30000e+01
300 -3.20000e+01
334 -3.10000e+01
385 -3.00000e+01
416 -2.90000e+01
726 -2.80000e+01
796 -2.70000e+01
1015 -2.60000e+01
1026 -2.50000e+01
1167 -2.40000e+01
1232 -2.30000e+01
1349 -2.20000e+01
1504 -2.10000e+01
1611 -2.00000e+01
1734 -1.90000e+01
1899 -1.80000e+01
1956 -1.70000e+01
2074 -1.60000e+01
2290 -1.40000e+01
2392 -1.30000e+01
2576 -1.20000e+01
2640 -1.10000e+01
2757 -1.00000e+01
2784 -9.00000e+00
2969 -8.00000e+00
3043 -7.00000e+00
3139 -6.00000e+00
3341 -5.00000e+00
3519 -4.00000e+00
3789 -3.00000e+00
4215 -2.00000e+00
4326 -1.00000e+00
4533 +3.86000e+02
4793 +3.87000e+02
4800 +3.95000e+02
5469 +4.05000e+02
5734 +4.09000e+02
6841 +4.12000e+02
7830 +4.13000e+02
9951 +4.13000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
18 -3.40000e+01
84 -3.30000e+01
208 -3.20000e+01
298 -3.10000e+01
323 -3.00000e+01
507 -2.90000e+01
561 -2.80000e+01
686 -2.70000e+01
707 -2.60000e+01
735 -2.50000e+01
775 -2.40000e+01
809 -2.30000e+01
1034 -2.20000e+01
1104 -2.10000e+01
1259 -2.00000e+01
1309 -1.90000e+01
1609 -1.80000e+01
1782 -1.70000e+01
1912 -1.60000e+01
1989 -1.50000e+01
2032 -1.40000e+01
2456 -1.30000e+01
2567 -1.20000e+01
2643 -1.10000e+01
2701 -1.00000e+01
2741 -9.00000e+00
2948 -8.00000e+00
3277 -7.00000e+00
3646 -6.00000e+00
3809 -5.00000e+00
3953 -4.00000e+00
4270 -3.00000e+00
4467 -2.00000e+00
4638 -1.00000e+00
4750 +3.66000e+02
5127 +3.75000e+02
5397 +3.84000e+02
5507 +3.89000e+02
5654 +4.00000e+02
6042 +4.07000e+02
6071 +4.08000e+02
8009 +4.13000e+02
8189 +4.19000e+02
9792 +4.20000e+02
9951 +4.20000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
96 -3.40000e+01
165 -3.20000e+01
275 -3.10000e+01
294 -3.00000e+01
362 -2.90000e+01
401 -2.80000e+01
536 -2.60000e+01
611 -2.50000e+01
792 -2.40000e+01
903 -2.30000e+01
913 -2.20000e+01
938 -2.10000e+01
958 -2.00000e+01
974 -1.90000e+01
1060 -1.80000e+01
1220 -1.70000e+01
1457 -1.60000e+01
1505 -1.50000e+01
1996 -1.40000e+01
2022 -1.30000e+01
2299 -1.20000e+01
2380 -1.10000e+01
2571 -1.00000e+01
2580 -9.00000e+00
2835 -8.00000e+00
2902 -7.00000e+00
2964 -6.00000e+00
3139 -5.00000e+00
3185 -3.00000e+00
3454 -2.00000e+00
3992 -1.00000e+00
4182 +3.69000e+02
4670 +3.70000e+02
4872 +3.73000e+02
5091 +3.92000e+02
5341 +3.95000e+02
5595 +3.99000e+02
5799 +4.01000e+02
5800 +4.09000e+02
6149 +4.13000e+02
7313 +4.14000e+02
8760 +4.15000e+02
9951 +4.15000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
16 -3.40000e+01
36 -3.30000e+01
108 -3.20000e+01
223 -3.10000e+01
290 -3.00000e+01
465 -2.90000e+01
648 -2.80000e+01
756 -2.70000e+01
839 -2.60000e+01
877 -2.50000e+01
1141 -2.40000e+01
1262 -2.30000e+01
1415 -2.20000e+01
1454 -2.10000e+01
